objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"That's Pretty Clever!","244522","7.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","60792320","0","0","1.8847","0","26165","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","13.99","USD","","","2019-10-09","Miniature Market","1","","","","","","",""
"Ticket to Ride","9209","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","27818224","0","0","1.8449","0","104412","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Dinosaurs","291508","7","2","0","1","0","0","0","0","0","0","0","3","","Pierce's game","","","","73601443","0","0","2.5714","0","6338","thing","Tiny Epic Dinosaurs","1","4","60","60","30","2020","1,2,3,4","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Galaxies","163967","7.2","2","0","1","0","0","0","0","0","0","0","3","","","","","","43016460","0","0","2.1554","0","30164","thing","Tiny Epic Galaxies","1","5","45","45","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","25","USD","","","2017-06-16","Origins","1","","","","","","",""
"Tiny Epic Galaxies: Beyond the Black","200544","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71666298","0","0","2.6842","0","10043","thing","Tiny Epic Galaxies: Beyond the Black","1","5","45","45","30","2017","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","20","USD","","","2020-05-28","Miniature Market","1","","","","","","",""
"Tiny Epic Galaxies: Satellites & Super Weapons Mini Expansion","171661","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44180898","0","0","2.0625","0","4062","thing","Tiny Epic Galaxies: Satellites & Super Weapons Mini Expansion","2","5","30","30","30","2015","2,3,4","3","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Tiny Epic Kingdoms","148951","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74938393","0","0","2.0938","0","17261","thing","Tiny Epic Kingdoms","2","5","45","45","30","2014","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","13.49","USD","","","2020-09-23","Half Price Books","1","","","","","","",""
"Tiny Epic Kingdoms: Deluxe Promo Pack","155530","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74707439","0","0","1.8824","0","2112","thing","Tiny Epic Kingdoms: Deluxe Promo Pack","2","5","30","30","30","2014","","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Tiny Towns","265736","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","83943192","0","0","2.0766","0","20238","thing","Tiny Towns","1","6","60","60","45","2019","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","16.99","USD","","","2021-07-16","Half Price Books","1","$19.99 - 15% off","","","","","",""
"Tsuro","16992","6","2","2","1","0","0","0","0","0","0","0","3","","","","","","31368947","0","0","1.2344","0","35061","thing","Tsuro","2","8","20","20","15","2004","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
